super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2534,Rocky Mountain College,Billings,MT,72600,38800,.10021361,.016157581,.35887569,.0010828188,.035964228,.00010851319,-.034508746,-.10808513,133.6666666666667
3424,Claflin University,Columbia,SC,35400,33600,.31608564,.00086995028,.11363833,.000302578,.035919443,.000095640564,-.30440474,-.39228255,272
2026,Southern University At New Orleans,New Orleans,LA,32100,27300,.37862131,.00068971131,.094593532,.0031346714,.035815127,.0011868534,-.032363161,.055042788,265
1466,Barry University,Miami,FL,69500,39200,.15535042,.028029114,.2299525,.0082351621,.035723217,.0012793358,.048217744,.081028461,272.6666666666667
30627,"Platt College of Alhambra, CA",Los Angeles,CA,48500,24500,.25964409,.0060673007,.13625626,.0016522441,.035378132,.00042899544,-.033619948,.039405309,99.66666666666667
30353,Southern Careers Institute,San Antonio,TX,28900,17100,.47105649,.0011852374,.074901477,.001933814,.035282828,.00091093563,-.15556823,-.11214062,406
2772,Mercy College,New York,NY,50700,31100,.22385523,.0036037383,.15746564,.00019822124,.035249505,.00004437286,-.033915229,-.060267337,591.6666666666666
3211,Oregon Institute Of Technology,Klamath Falls,OR,76400,51900,.097608462,.0011763991,.36084667,.010991014,.035221688,.001072816,-.01261529,-.084267333,312.6666666666667
9204,Kiamichi Technology Center,Fort Smith,OK,29800,18000,.43620118,.00077327486,.080230542,.018306168,.034996659,.0079851719,-.12592058,-.096296862,111
1154,San Francisco State University,San Francisco,CA,87200,45800,.1007141,.012867942,.34707272,.014307158,.034955118,.0014409326,-.014603801,-.053017586,1854.666666666667
1119,Barstow Community College,Los Angeles,CA,58000,28700,.18924633,.00083232776,.18435742,0,.034888964,0,.073264994,.075571246,478
2760,Manhattanville College,New York,NY,95400,48900,.084173411,.032543462,.41392407,.01432421,.0348414,.0012057176,.014498948,.035959303,295.6666666666667
1479,Embry-Riddle Aeronautical University,Deltona,FL,92400,65600,.072243504,.014424954,.48158756,.013296512,.034791574,.00096058659,.016937146,.0060270317,1401.666666666667
2837,State University Of New York At Buffalo,Buffalo,NY,95300,52700,.081726015,.0059959218,.4246465,.024677064,.034704667,.0020167581,-.0065125129,-.021823548,2814
